PCL_ID,ROAD,JUNCTION,POI_DENSIT,POP_DENSIT,MIXTURE,AMENITIES,ACCESSIBIL,A_TRANSPOR,A_AMENETIE,GDP,TERTIARY,INCOME,CITY_LEVEL,BUS,EDU,GOV,CVS,DCENTER,DSUBC,DRAIL,DTRAN,DGREEN,DMALL,DHOSPITAL,Y_DP_COMME,Y_LN_DP_CO,Y_HOUSINGP,Y_WEIBO,E_NAME,CITYID
3503,6246.98,21,16,6342,1.14389,2.75,11.297,4.623,13.967,32221.0,48.13,30938.0,2,0,3.0,0,8.0,2.828,62.769,8.246,1.0,2.236,2.0,0.0,1,0.0,0.0,45,Huangshan,248
3505,13382.6,105,106,8805,1.71974,9.0,11.714,5.599,14.159,32221.0,48.13,30938.0,2,14,3.0,9,10.0,2.0,63.561,10.198,1.0,2.236,2.0,1.0,10,2.303,0.0,68,Huangshan,248
3506,8810.67,60,34,6201,1.14501,7.25,12.174,6.09,14.608,32221.0,48.13,30938.0,2,2,0.0,11,16.0,2.236,63.977,11.18,1.0,2.828,2.0,2.0,93,4.533,0.0,141,Huangshan,248
3507,8438.91,33,31,5174,1.15794,2.25,12.463,6.083,15.015,32221.0,48.13,30938.0,2,3,1.0,0,5.0,2.828,64.405,12.166,0.0,3.606,2.236,2.0,38,3.638,0.0,77,Huangshan,248
3683,8448.34,59,42,9057,1.46237,2.25,10.996,4.738,13.499,32221.0,48.13,30938.0,2,6,0.0,3,0.0,2.236,61.847,8.062,1.414,1.414,1.0,1.0,54,3.989,0.0,82,Huangshan,248
3685,8595.51,70,229,7151,1.88343,13.5,11.218,5.732,13.413,32221.0,48.13,30938.0,2,23,13.0,8,10.0,1.0,62.65,10.05,1.414,1.414,1.0,1.0,6477,8.776,0.0,581,Huangshan,248
3686,9726.73,68,122,6132,1.71143,8.5,11.538,6.023,13.744,32221.0,48.13,30938.0,2,12,1.0,2,19.0,1.414,63.071,11.045,1.0,2.236,1.0,1.0,515,6.244,0.0,314,Huangshan,248
3687,12724.8,85,114,7790,1.80206,6.0,11.909,6.021,14.264,32221.0,48.13,30938.0,2,12,4.0,3,5.0,2.236,63.506,12.042,0.0,3.162,1.414,1.0,82,4.407,0.0,121,Huangshan,248
3872,5846.67,26,23,6790,1.2621,3.0,10.825,4.618,13.308,32221.0,48.13,30938.0,2,9,1.0,2,0.0,3.0,60.539,7.0,2.236,2.0,1.0,0.0,8,2.079,0.0,13,Huangshan,248
3875,12047.0,134,754,4742,1.85061,22.5,10.594,5.707,12.548,32221.0,48.13,30938.0,2,48,26.0,16,0.0,0.0,61.741,10.0,1.414,1.0,0.0,0.0,124,4.82,0.0,150,Huangshan,248
3876,17083.1,175,687,7083,1.72447,19.75,11.024,6.0,13.034,32221.0,48.13,30938.0,2,37,21.0,5,16.0,1.0,62.169,11.0,1.0,2.0,0.0,0.0,811,6.698,0.0,344,Huangshan,248
3877,15318.8,178,569,5028,1.86192,20.75,11.659,6.5,13.722,32221.0,48.13,30938.0,2,30,6.0,16,31.0,2.0,62.61,12.0,1.0,3.0,1.0,0.0,352,5.864,0.0,415,Huangshan,248
