shapeid,x,y
0,118.2876566,29.69420086
,,
0,118.2772985,29.69539049
,,
0,118.2786922,29.70422926
,,
0,118.2890514,29.70303953
,,
0,118.2876566,29.69420086
,,
1,118.3083721,29.69181884
,,
1,118.2980145,29.69301031
,,
1,118.2994104,29.70184888
,,
1,118.309769,29.7006573
,,
1,118.3083721,29.69181884
,,
2,118.3187294,29.69062644
,,
2,118.3083721,29.69181884
,,
2,118.309769,29.7006573
,,
2,118.3201274,29.6994648
,,
2,118.3187294,29.69062644
,,
3,118.3290864,29.68943311
,,
3,118.3187294,29.69062644
,,
3,118.3201274,29.6994648
,,
3,118.3304854,29.69827137
,,
3,118.3290864,29.68943311
,,
4,118.2890514,29.70303953
,,
4,118.2786922,29.70422926
,,
4,118.2800862,29.71306785
,,
4,118.2904465,29.71187802
,,
4,118.2890514,29.70303953
,,
5,118.309769,29.7006573
,,
5,118.2994104,29.70184888
,,
5,118.3008065,29.71068727
,,
5,118.3111662,29.70949559
,,
5,118.309769,29.7006573
,,
6,118.3201274,29.6994648
,,
6,118.309769,29.7006573
,,
6,118.3111662,29.70949559
,,
6,118.3215256,29.70830298
,,
6,118.3201274,29.6994648
,,
7,118.3304854,29.69827137
,,
7,118.3201274,29.6994648
,,
7,118.3215256,29.70830298
,,
7,118.3318848,29.70710945
,,
7,118.3304854,29.69827137
,,
8,118.2800862,29.71306785
,,
8,118.2697256,29.71425676
,,
8,118.2711189,29.72309528
,,
8,118.2814805,29.72190627
,,
8,118.2800862,29.71306785
,,
9,118.3111662,29.70949559
,,
9,118.3008065,29.71068727
,,
9,118.3022029,29.71952548
,,
9,118.3125637,29.7183337
,,
9,118.3111662,29.70949559
,,
10,118.3215256,29.70830298
,,
10,118.3111662,29.70949559
,,
10,118.3125637,29.7183337
,,
10,118.3229242,29.71714099
,,
10,118.3215256,29.70830298
,,
11,118.3318848,29.70710945
,,
11,118.3215256,29.70830298
,,
11,118.3229242,29.71714099
,,
11,118.3332844,29.71594735
,,
11,118.3318848,29.70710945
,,
12,118.3229242,29.71714099
,,
12,118.3125637,29.7183337
,,
12,118.3139615,29.72717163
,,
12,118.324323,29.72597882
,,
12,118.3229242,29.71714099
,,
13,118.3332844,29.71594735
,,
13,118.3229242,29.71714099
,,
13,118.324323,29.72597882
,,
13,118.3346843,29.72478508
,,
13,118.3332844,29.71594735
,,
14,118.2932375,29.72955448
,,
14,118.2828751,29.73074451
,,
14,118.28427,29.73958258
,,
14,118.2946335,29.73839244
,,
14,118.2932375,29.72955448
,,
15,118.3486995,29.81315268
,,
15,118.3383276,29.81434744
,,
15,118.3397297,29.82318334
,,
15,118.3501027,29.82198847
,,
15,118.3486995,29.81315268
,,
16,118.3293565,29.82437729
,,
16,118.318983,29.82557031
,,
16,118.3203832,29.83440624
,,
16,118.3307578,29.83321312
,,
16,118.3293565,29.82437729
,,
17,118.3397297,29.82318334
,,
17,118.3293565,29.82437729
,,
17,118.3307578,29.83321312
,,
17,118.3411321,29.83201907
,,
17,118.3397297,29.82318334
,,
18,118.1271961,30.28797992
,,
18,118.1167625,30.28915387
,,
18,118.1181492,30.29798417
,,
18,118.1285839,30.29681011
,,
18,118.1271961,30.28797992
,,
19,118.1285839,30.29681011
,,
19,118.1181492,30.29798417
,,
19,118.1195362,30.30681429
,,
19,118.129972,30.30564013
,,
19,118.1285839,30.29681011
,,
20,118.1390183,30.29563512
,,
20,118.1285839,30.29681011
,,
20,118.129972,30.30564013
,,
20,118.1404074,30.30446504
,,
20,118.1390183,30.29563512
,,
21,117.0232006,30.50554927
,,
21,117.0127251,30.50662452
,,
21,117.0139989,30.51546369
,,
21,117.0244755,30.51438835
,,
21,117.0232006,30.50554927
,,
22,117.0336758,30.50447309
,,
22,117.0232006,30.50554927
,,
22,117.0244755,30.51438835
,,
22,117.0349518,30.51331208
,,
22,117.0336758,30.50447309
,,
23,117.0441507,30.50339598
,,
23,117.0336758,30.50447309
,,
23,117.0349518,30.51331208
,,
23,117.0454279,30.51223486
,,
23,117.0441507,30.50339598
,,
24,117.0546254,30.50231792
,,
24,117.0441507,30.50339598
,,
24,117.0454279,30.51223486
,,
24,117.0559036,30.51115672
,,
24,117.0546254,30.50231792
,,
25,117.0650998,30.50123894
,,
25,117.0546254,30.50231792
,,
25,117.0559036,30.51115672
,,
25,117.0663791,30.51007764
,,
25,117.0650998,30.50123894
,,
26,117.0755739,30.50015902
,,
26,117.0650998,30.50123894
,,
26,117.0663791,30.51007764
,,
26,117.0768544,30.50899762
,,
26,117.0755739,30.50015902
,,
27,117.0349518,30.51331208
,,
27,117.0244755,30.51438835
,,
27,117.0257508,30.52322727
,,
27,117.0362282,30.5221509
,,
27,117.0349518,30.51331208
,,
28,117.0454279,30.51223486
,,
28,117.0349518,30.51331208
,,
28,117.0362282,30.5221509
,,
28,117.0467053,30.52107359
,,
28,117.0454279,30.51223486
,,
29,117.0559036,30.51115672
,,
29,117.0454279,30.51223486
,,
29,117.0467053,30.52107359
,,
29,117.0571821,30.51999535
,,
29,117.0559036,30.51115672
,,
30,117.0663791,30.51007764
,,
30,117.0559036,30.51115672
,,
30,117.0571821,30.51999535
,,
30,117.0676587,30.51891617
,,
30,117.0663791,30.51007764
,,
31,117.0768544,30.50899762
,,
31,117.0663791,30.51007764
,,
31,117.0676587,30.51891617
,,
31,117.078135,30.51783606
,,
31,117.0768544,30.50899762
,,
32,117.0873293,30.50791667
,,
32,117.0768544,30.50899762
,,
32,117.078135,30.51783606
,,
32,117.0886111,30.51675501
,,
32,117.0873293,30.50791667
,,
33,117.097804,30.50683478
,,
33,117.0873293,30.50791667
,,
33,117.0886111,30.51675501
,,
33,117.0990869,30.51567303
,,
33,117.097804,30.50683478
,,
34,117.0467053,30.52107359
,,
34,117.0362282,30.5221509
,,
34,117.0375048,30.53098957
,,
34,117.047983,30.52991216
,,
34,117.0467053,30.52107359
,,
35,117.078135,30.51783606
,,
35,117.0676587,30.51891617
,,
35,117.0689386,30.52775455
,,
35,117.079416,30.52667434
,,
35,117.078135,30.51783606
,,
36,117.0990869,30.51567303
,,
36,117.0886111,30.51675501
,,
36,117.0898931,30.5255932
,,
36,117.10037,30.52451112
,,
36,117.0990869,30.51567303
,,
37,117.047983,30.52991216
,,
37,117.0375048,30.53098957
,,
37,117.0387816,30.53982808
,,
37,117.0492609,30.53875058
,,
37,117.047983,30.52991216
,,
38,117.0689386,30.52775455
,,
38,117.0584609,30.52883383
,,
38,117.05974,30.53767214
,,
38,117.0702187,30.53659277
,,
38,117.0689386,30.52775455
,,
39,117.079416,30.52667434
,,
39,117.0689386,30.52775455
,,
39,117.0702187,30.53659277
,,
39,117.0806972,30.53551247
,,
39,117.079416,30.52667434
,,
40,117.0387816,30.53982808
,,
40,117.028302,30.54090464
,,
40,117.0295781,30.54974309
,,
40,117.0400588,30.54866643
,,
40,117.0387816,30.53982808
,,
41,117.05974,30.53767214
,,
41,117.0492609,30.53875058
,,
41,117.0505392,30.54758883
,,
41,117.0610193,30.5465103
,,
41,117.05974,30.53767214
,,
42,117.0702187,30.53659277
,,
42,117.05974,30.53767214
,,
42,117.0610193,30.5465103
,,
42,117.0714991,30.54543083
,,
42,117.0702187,30.53659277
,,
43,117.0806972,30.53551247
,,
43,117.0702187,30.53659277
,,
43,117.0714991,30.54543083
,,
43,117.0819787,30.54435043
,,
43,117.0806972,30.53551247
,,
44,117.0295781,30.54974309
,,
44,117.0190972,30.55081881
,,
44,117.0203724,30.5596572
,,
44,117.0308544,30.55858138
,,
44,117.0295781,30.54974309
,,
45,117.0400588,30.54866643
,,
45,117.0295781,30.54974309
,,
45,117.0308544,30.55858138
,,
45,117.0413362,30.55750462
,,
45,117.0400588,30.54866643
,,
46,117.0505392,30.54758883
,,
46,117.0400588,30.54866643
,,
46,117.0413362,30.55750462
,,
46,117.0518177,30.55642693
,,
46,117.0505392,30.54758883
,,
47,117.0610193,30.5465103
,,
47,117.0505392,30.54758883
,,
47,117.0518177,30.55642693
,,
47,117.0622989,30.5553483
,,
47,117.0610193,30.5465103
,,
48,117.0714991,30.54543083
,,
48,117.0610193,30.5465103
,,
48,117.0622989,30.5553483
,,
48,117.0727798,30.55426874
,,
48,117.0714991,30.54543083
,,
49,117.0819787,30.54435043
,,
49,117.0714991,30.54543083
,,
49,117.0727798,30.55426874
,,
49,117.0832605,30.55318824
,,
49,117.0819787,30.54435043
,,
50,117.0098901,30.56073208
,,
50,116.9994075,30.56180603
,,
50,117.0006809,30.57064445
,,
50,117.0111645,30.56957041
,,
50,117.0098901,30.56073208
,,
51,117.0622989,30.5553483
,,
51,117.0518177,30.55642693
,,
51,117.0530964,30.56526486
,,
51,117.0635787,30.56418614
,,
51,117.0622989,30.5553483
,,
52,117.0832605,30.55318824
,,
52,117.0727798,30.55426874
,,
52,117.0740608,30.56310648
,,
52,117.0845425,30.56202589
,,
52,117.0832605,30.55318824
,,
53,117.4985494,30.62626531
,,
53,117.488065,30.62738262
,,
53,117.4893909,30.63621458
,,
53,117.4998764,30.63509717
,,
53,117.4985494,30.62626531
,,
54,117.4802303,30.64616296
,,
54,117.4697432,30.64727859
,,
54,117.4710675,30.65611044
,,
54,117.4815557,30.65499471
,,
54,117.4802303,30.64616296
,,
55,117.4907172,30.64504639
,,
55,117.4802303,30.64616296
,,
55,117.4815557,30.65499471
,,
55,117.4920437,30.65387804
,,
55,117.4907172,30.64504639
,,
56,117.4815557,30.65499471
,,
56,117.4710675,30.65611044
,,
56,117.4723921,30.66494213
,,
56,117.4828814,30.6638263
,,
56,117.4815557,30.65499471
,,
57,117.4920437,30.65387804
,,
57,117.4815557,30.65499471
,,
57,117.4828814,30.6638263
,,
57,117.4933704,30.66270953
,,
57,117.4920437,30.65387804
,,
58,117.4828814,30.6638263
,,
58,117.4723921,30.66494213
,,
58,117.473717,30.67377367
,,
58,117.4842074,30.67265773
,,
58,117.4828814,30.6638263
,,
59,117.4933704,30.66270953
,,
59,117.4828814,30.6638263
,,
59,117.4842074,30.67265773
,,
59,117.4946975,30.67154086
,,
59,117.4933704,30.66270953
,,
60,117.473717,30.67377367
,,
60,117.4632263,30.67488867
,,
60,117.4645504,30.68372015
,,
60,117.4750422,30.68260505
,,
60,117.473717,30.67377367
,,
61,117.4946975,30.67154086
,,
61,117.4842074,30.67265773
,,
61,117.4855336,30.68148901
,,
61,117.4960248,30.68037204
,,
61,117.4946975,30.67154086
,,
62,117.5051873,30.67042305
,,
62,117.4946975,30.67154086
,,
62,117.4960248,30.68037204
,,
62,117.5065158,30.67925413
,,
62,117.5051873,30.67042305
,,
63,117.5707906,30.68135737
,,
63,117.5603003,30.68248099
,,
63,117.5616347,30.69131125
,,
63,117.5721262,30.69018753
,,
63,117.5707906,30.68135737
,,
64,118.5044077,31.69965404
,,
64,118.493801,31.70085857
,,
64,118.4952517,31.70966271
,,
64,118.5058595,31.70845808
,,
64,118.5044077,31.69965404
,,
65,118.515014,31.69844857
,,
65,118.5044077,31.69965404
,,
65,118.5058595,31.70845808
,,
65,118.516467,31.7072525
,,
65,118.515014,31.69844857
,,
66,118.5256201,31.69724216
,,
66,118.515014,31.69844857
,,
66,118.516467,31.7072525
,,
66,118.5270741,31.70604597
,,
66,118.5256201,31.69724216
,,
67,117.1562678,31.85389088
,,
67,117.1456225,31.85497549
,,
67,117.1469315,31.86379308
,,
67,117.1575779,31.86270837
,,
67,117.1562678,31.85389088
,,
68,117.1988462,31.84954299
,,
68,117.188202,31.85063138
,,
68,117.1895155,31.85944856
,,
68,117.2001608,31.85836007
,,
68,117.1988462,31.84954299
,,
69,117.2094901,31.84845364
,,
69,117.1988462,31.84954299
,,
69,117.2001608,31.85836007
,,
69,117.2108059,31.85727062
,,
69,117.2094901,31.84845364
,,
70,117.2201337,31.84736335
,,
70,117.2094901,31.84845364
,,
70,117.2108059,31.85727062
,,
70,117.2214506,31.85618023
,,
70,117.2201337,31.84736335
,,
71,117.2307771,31.84627212
,,
71,117.2201337,31.84736335
,,
71,117.2214506,31.85618023
,,
71,117.2320951,31.85508889
,,
71,117.2307771,31.84627212
,,
72,117.2414201,31.84517994
,,
72,117.2307771,31.84627212
,,
72,117.2320951,31.85508889
,,
72,117.2427393,31.85399661
,,
72,117.2414201,31.84517994
,,
73,117.2520629,31.84408681
,,
73,117.2414201,31.84517994
,,
73,117.2427393,31.85399661
,,
73,117.2533832,31.85290337
,,
73,117.2520629,31.84408681
,,
74,117.2627054,31.84299273
,,
74,117.2520629,31.84408681
,,
74,117.2533832,31.85290337
,,
74,117.2640268,31.85180919
,,
74,117.2627054,31.84299273
,,
75,117.0267422,32.66306348
,,
75,117.0159893,32.66413535
,,
75,117.0172973,32.67294421
,,
75,117.0280513,32.67187224
,,
75,117.0267422,32.66306348
,,
76,117.0374948,32.66199067
,,
76,117.0267422,32.66306348
,,
76,117.0280513,32.67187224
,,
76,117.0388051,32.67079932
,,
76,117.0374948,32.66199067
,,
77,117.0482471,32.66091689
,,
77,117.0374948,32.66199067
,,
77,117.0388051,32.67079932
,,
77,117.0495585,32.66972544
,,
77,117.0482471,32.66091689
,,
78,117.0589991,32.65984216
,,
78,117.0482471,32.66091689
,,
78,117.0495585,32.66972544
,,
78,117.0603117,32.66865061
,,
78,117.0589991,32.65984216
,,
79,116.9997071,32.70151178
,,
79,116.9889488,32.70258118
,,
79,116.9902545,32.71138989
,,
79,117.001014,32.71032038
,,
79,116.9997071,32.70151178
,,
80,117.001014,32.71032038
,,
80,116.9902545,32.71138989
,,
80,116.9915604,32.72019848
,,
80,117.0023211,32.71912887
,,
80,117.001014,32.71032038
,,
81,115.861352,32.83599935
,,
81,115.8505615,32.83696752
,,
81,115.8517457,32.84578638
,,
81,115.8625373,32.84481811
,,
81,115.861352,32.83599935
,,
82,115.8409539,32.84675368
,,
82,115.8301617,32.84772003
,,
82,115.8313439,32.85653896
,,
82,115.8421371,32.85557252
,,
82,115.8409539,32.84675368
,,
83,115.8529301,32.85460512
,,
83,115.8421371,32.85557252
,,
83,115.8433206,32.86439125
,,
83,115.8541148,32.86342376
,,
83,115.8529301,32.85460512
,,
84,115.8637229,32.85363677
,,
84,115.8529301,32.85460512
,,
84,115.8541148,32.86342376
,,
84,115.8649087,32.86245531
,,
84,115.8637229,32.85363677
,,
85,115.8109366,32.86728797
,,
85,115.8001414,32.86825163
,,
85,115.8013205,32.87707062
,,
85,115.8121169,32.87610688
,,
85,115.8109366,32.86728797
,,
86,116.9617317,33.62539169
,,
86,116.9508491,33.62645656
,,
86,116.9521656,33.63525602
,,
86,116.9630494,33.63419105
,,
86,116.9617317,33.62539169
,,
87,116.972614,33.62432586
,,
87,116.9617317,33.62539169
,,
87,116.9630494,33.63419105
,,
87,116.9739328,33.63312512
,,
87,116.972614,33.62432586
,,
88,116.983496,33.62325907
,,
88,116.972614,33.62432586
,,
88,116.9739328,33.63312512
,,
88,116.984816,33.63205821
,,
88,116.983496,33.62325907
,,
89,116.9943777,33.62219131
,,
89,116.983496,33.62325907
,,
89,116.984816,33.63205821
,,
89,116.9956989,33.63099034
,,
89,116.9943777,33.62219131
,,
90,117.0052591,33.62112258
,,
90,116.9943777,33.62219131
,,
90,116.9956989,33.63099034
,,
90,117.0065815,33.62992151
,,
90,117.0052591,33.62112258
,,
91,116.9521656,33.63525602
,,
91,116.9412816,33.63632003
,,
91,116.9425972,33.64511951
,,
91,116.9534824,33.64405539
,,
91,116.9521656,33.63525602
,,
92,116.9630494,33.63419105
,,
92,116.9521656,33.63525602
,,
92,116.9534824,33.64405539
,,
92,116.9643673,33.64299031
,,
92,116.9630494,33.63419105
,,
93,116.9739328,33.63312512
,,
93,116.9630494,33.63419105
,,
93,116.9643673,33.64299031
,,
93,116.975252,33.64192427
,,
93,116.9739328,33.63312512
,,
94,116.984816,33.63205821
,,
94,116.9739328,33.63312512
,,
94,116.975252,33.64192427
,,
94,116.9861363,33.64085726
,,
94,116.984816,33.63205821
,,
95,116.9956989,33.63099034
,,
95,116.984816,33.63205821
,,
95,116.9861363,33.64085726
,,
95,116.9970204,33.63978929
,,
95,116.9956989,33.63099034
,,
96,117.0065815,33.62992151
,,
96,116.9956989,33.63099034
,,
96,116.9970204,33.63978929
,,
96,117.0079041,33.63872034
,,
96,117.0065815,33.62992151
,,
97,117.0174638,33.62885171
,,
97,117.0065815,33.62992151
,,
97,117.0079041,33.63872034
,,
97,117.0187876,33.63765044
,,
97,117.0174638,33.62885171
,,
98,116.9534824,33.64405539
,,
98,116.9425972,33.64511951
,,
98,116.9439131,33.65391888
,,
98,116.9547995,33.65285467
,,
98,116.9534824,33.64405539
,,
99,116.9643673,33.64299031
,,
99,116.9534824,33.64405539
,,
99,116.9547995,33.65285467
,,
99,116.9656856,33.65178948
,,
99,116.9643673,33.64299031
,,
100,116.3226291,39.69926489
,,
100,116.3108453,39.70027191
,,
100,116.3121938,39.70906814
,,
100,116.323979,39.708061
,,
100,116.3226291,39.69926489
,,
101,116.3344125,39.69825683
,,
101,116.3226291,39.69926489
,,
101,116.323979,39.708061
,,
101,116.3357637,39.70705282
,,
101,116.3344125,39.69825683
,,
102,116.3461956,39.69724773
,,
102,116.3344125,39.69825683
,,
102,116.3357637,39.70705282
,,
102,116.3475482,39.70604359
,,
102,116.3461956,39.69724773
,,
103,116.3815429,39.69421417
,,
103,116.3697608,39.6952264
,,
103,116.3711162,39.70402201
,,
103,116.3828997,39.70300965
,,
103,116.3815429,39.69421417
,,
104,115.9584929,39.73879699
,,
104,115.946698,39.73977177
,,
104,115.948004,39.74857191
,,
104,115.9598002,39.74759701
,,
104,115.9584929,39.73879699
,,
105,115.9702875,39.73782117
,,
105,115.9584929,39.73879699
,,
105,115.9598002,39.74759701
,,
105,115.9715962,39.74662107
,,
105,115.9702875,39.73782117
,,
106,116.0646329,39.72997701
,,
106,116.0528408,39.73096119
,,
106,116.0541592,39.73976022
,,
106,116.0659527,39.73877592
,,
106,116.0646329,39.72997701
,,
107,116.0764247,39.72899179
,,
107,116.0646329,39.72997701
,,
107,116.0659527,39.73877592
,,
107,116.0777459,39.73779057
,,
107,116.0764247,39.72899179
,,
108,116.0882161,39.72800552
,,
108,116.0764247,39.72899179
,,
108,116.0777459,39.73779057
,,
108,116.0895387,39.73680418
,,
108,116.0882161,39.72800552
,,
109,116.1000073,39.72701822
,,
109,116.0882161,39.72800552
,,
109,116.0895387,39.73680418
,,
109,116.1013312,39.73581675
,,
109,116.1000073,39.72701822
,,
110,116.1117981,39.72602986
,,
110,116.1000073,39.72701822
,,
110,116.1013312,39.73581675
,,
110,116.1131235,39.73482827
,,
110,116.1117981,39.72602986
,,
111,116.1235886,39.72504047
,,
111,116.1117981,39.72602986
,,
111,116.1131235,39.73482827
,,
111,116.1249154,39.73383875
,,
111,116.1235886,39.72504047
,,
112,116.1353788,39.72405002
,,
112,116.1235886,39.72504047
,,
112,116.1249154,39.73383875
,,
112,116.1367069,39.73284819
,,
112,116.1353788,39.72405002
,,
113,116.1471687,39.72305854
,,
113,116.1353788,39.72405002
,,
113,116.1367069,39.73284819
,,
113,116.1484982,39.73185658
,,
113,116.1471687,39.72305854
,,
114,116.1589583,39.72206601
,,
114,116.1471687,39.72305854
,,
114,116.1484982,39.73185658
,,
114,116.1602892,39.73086392
,,
114,116.1589583,39.72206601
,,
115,116.1707475,39.72107244
,,
115,116.1589583,39.72206601
,,
115,116.1602892,39.73086392
,,
115,116.1720798,39.72987023
,,
115,116.1707475,39.72107244
,,
116,116.1825365,39.72007782
,,
116,116.1707475,39.72107244
,,
116,116.1720798,39.72987023
,,
116,116.1838701,39.72887548
,,
116,116.1825365,39.72007782
,,
117,116.2532635,39.7140882
,,
117,116.2414764,39.71508908
,,
117,116.242817,39.72388611
,,
117,116.2546054,39.72288511
,,
117,116.2532635,39.7140882
,,
118,116.2768366,39.71208331
,,
